qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.05228686332702637,0.07191777229309082,0.07120203971862793,0.07243490219116211,0.07009243965148926,0.08085370063781738,0.03532147407531738
0.051576852798461914,0.07076835632324219,0.06989121437072754,0.07314586639404297,0.0708160400390625,0.08018255233764648,0.03606057167053223
0.05231952667236328,0.0717928409576416,0.07282781600952148,0.07463645935058594,0.0705270767211914,0.07995176315307617,0.03571724891662598
0.05237412452697754,0.07205367088317871,0.07034611701965332,0.070404052734375,0.07106137275695801,0.08033275604248047,0.03559231758117676
0.05172133445739746,0.07024717330932617,0.0712428092956543,0.07298612594604492,0.0742952823638916,0.08237814903259277,0.03593015670776367
0.05224895477294922,0.07314348220825195,0.07263875007629395,0.07258725166320801,0.07166886329650879,0.08021330833435059,0.03586864471435547
0.051616668701171875,0.0704658031463623,0.07238030433654785,0.07614016532897949,0.07066464424133301,0.08004283905029297,0.035422563552856445
0.0517120361328125,0.0712885856628418,0.07517218589782715,0.0732269287109375,0.0731954574584961,0.07905435562133789,0.03543376922607422
0.05058002471923828,0.07109260559082031,0.06983065605163574,0.07477617263793945,0.06975388526916504,0.0793612003326416,0.03492164611816406
0.05138587951660156,0.0698690414428711,0.0697181224822998,0.07518911361694336,0.07027673721313477,0.07929062843322754,0.035428762435913086
0.05183124542236328,0.06936335563659668,0.07054519653320312,0.06958270072937012,0.0701596736907959,0.0793459415435791,0.03508162498474121
0.051641225814819336,0.0719752311706543,0.07065534591674805,0.07579374313354492,0.0689387321472168,0.0788431167602539,0.03523063659667969
0.05121779441833496,0.06952047348022461,0.0704963207244873,0.07542705535888672,0.06949162483215332,0.07928681373596191,0.035182952880859375
0.05121302604675293,0.06929373741149902,0.0693352222442627,0.07338070869445801,0.06938838958740234,0.07937359809875488,0.03527474403381348
0.05095720291137695,0.06917405128479004,0.07050776481628418,0.07579278945922852,0.06965255737304688,0.07935142517089844,0.035119056701660156
0.05109429359436035,0.0703127384185791,0.06948304176330566,0.06915616989135742,0.06930708885192871,0.07939648628234863,0.035543203353881836
0.05081605911254883,0.06914877891540527,0.07043695449829102,0.07029223442077637,0.07002711296081543,0.07948756217956543,0.03531932830810547
0.05093741416931152,0.06956171989440918,0.0705726146697998,0.07314229011535645,0.07270550727844238,0.07947587966918945,0.035294532775878906
